nombre,apellidos,curp,fecha_nacimiento,id_estado_residencia
JUAN,PEREZ,PEJR010101HDFLNR07,2001-01-01,1
MARIA,GONZALEZ,GOGL020202MDFLNR06,2002-02-02,2
CARLOS,RAMIREZ,RARC030303HDFLNR05,2003-03-03,3
ANA,MARTINEZ,MATA040404MDFLNR04,2004-04-04,4
ROBERTO,LOPEZ,LOLR050505HDFLNR03,2005-05-05,5
PATRICIA,HERNANDEZ,HEHP060606MDFLNR02,2006-06-06,6
RAFAEL,REYES,RERA070707HDFLNR01,2007-07-07,1
SOFIA,TORRES,TOSA080808MDFLNR02,2008-08-08,2
ALEJANDRO,FERNANDEZ,FEFA090909HDFLNR03,2009-09-09,3
DANIELA,GARCIA,GADA101010MDFLNR04,2010-10-10,4
